[2025-04-05 19:26:03,514] 476 google_auth_oauthlib.flow - INFO - "GET /?state=HxjR3L5yxsxZS0SbEVj1hHMFLzKOTk&code=4/0Ab_5qll1_WNEoD6v-TZME2DfvBE7a4Qv1vbau2zG3iVe6ZtQcjvbGu8A32XzmmAEqdY6MQ&scope=https://www.googleapis.com/auth/gmail.readonly%20https://www.googleapis.com/auth/gmail.send%20https://www.googleapis.com/auth/gmail.labels%20https://www.googleapis.com/auth/gmail.compose%20https://www.googleapis.com/auth/gmail.modify%20https://www.googleapis.com/auth/calendar.events HTTP/1.1" 200 65
[2025-04-05 19:26:04,065] 49 googleapiclient.discovery_cache - INFO - file_cache is only supported with oauth2client<4.0.0
[2025-04-05 19:26:04,079] 49 googleapiclient.discovery_cache - INFO - file_cache is only supported with oauth2client<4.0.0
[2025-04-05 19:26:06,939] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:07,607] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:08,207] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:09,473] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:09,982] 49 googleapiclient.discovery_cache - INFO - file_cache is only supported with oauth2client<4.0.0
[2025-04-05 19:26:09,988] 49 googleapiclient.discovery_cache - INFO - file_cache is only supported with oauth2client<4.0.0
[2025-04-05 19:26:10,068] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:10,661] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:11,149] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:12,168] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:12,600] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:13,198] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:13,773] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:13,784] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:14,391] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:14,946] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:15,155] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:15,761] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:15,935] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
