[2025-04-05 19:39:25,513] 476 google_auth_oauthlib.flow - INFO - "GET /?state=i5Bvlrp7vUHr6b8BTSVJMaT6EPYSlw&code=4/0Ab_5qllPjeiFYSqTqJ7vixnBM6Em2ZVuIPRldcGesRXLjocwcmS-idiknwPCC18Kc8iSTg&scope=https://www.googleapis.com/auth/gmail.readonly%20https://www.googleapis.com/auth/gmail.send%20https://www.googleapis.com/auth/gmail.labels%20https://www.googleapis.com/auth/gmail.compose%20https://www.googleapis.com/auth/gmail.modify%20https://www.googleapis.com/auth/calendar.events HTTP/1.1" 200 65
[2025-04-05 19:39:26,073] 49 googleapiclient.discovery_cache - INFO - file_cache is only supported with oauth2client<4.0.0
[2025-04-05 19:39:26,082] 49 googleapiclient.discovery_cache - INFO - file_cache is only supported with oauth2client<4.0.0
[2025-04-05 19:39:30,512] 49 googleapiclient.discovery_cache - INFO - file_cache is only supported with oauth2client<4.0.0
[2025-04-05 19:39:30,525] 49 googleapiclient.discovery_cache - INFO - file_cache is only supported with oauth2client<4.0.0
[2025-04-05 19:39:30,616] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:31,455] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:31,942] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:32,418] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:33,174] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:33,469] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:33,847] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:34,437] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:34,674] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-04-05 19:39:34,675] 1048 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 11.000000 seconds
[2025-04-05 19:39:35,372] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-04-05 19:39:35,372] 1048 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 3.000000 seconds
[2025-04-05 19:39:38,964] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:39,547] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:40,113] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:41,096] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:41,679] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:42,270] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:43,978] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:44,694] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:45,411] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:45,922] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-04-05 19:39:45,924] 1048 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 2.000000 seconds
[2025-04-05 19:39:46,595] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:47,173] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:47,768] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:48,668] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:39:49,155] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-04-05 19:39:49,156] 1048 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 12.000000 seconds
[2025-04-05 19:40:01,746] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:40:02,768] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-04-05 19:40:02,769] 1048 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 4.000000 seconds
[2025-04-05 19:40:07,343] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:40:07,908] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:40:08,462] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:40:09,414] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:40:10,026] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:40:10,584] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:40:11,567] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:40:12,120] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
